Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price,Retail_Sales_Percentage
March,America,Apparel,Performance,Compression Wear,Mid-Range,14492,724600,85,50,15
September,India,Apparel,Performance,Compression Wear,Budget,22409,2240900,88,100,12
December,Europe,Equipment,Bags,Backpack,Mid-Range,47159,8488620,63,180,37
June,South Korea,Footwear,Running,React Infinity,Budget,15441,1389690,69,90,31
October,America,Equipment,Socks,Crew Socks,Mid-Range,22124,4203560,66,190,34
July,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,42975,8165250,51,190,49
August,South Korea,Apparel,Tops,Therma-FIT,Mid-Range,31132,9339600,72,300,28
August,Greater China,Apparel,Performance,Compression Wear,Premium,33233,1993980,79,60,21
March,Japan,Footwear,Football,Phantom Vision,Budget,37977,5316780,63,140,37
April,Greater China,Equipment,Bags,Backpack,Premium,23761,4276980,58,180,42
January,Southeast Asia,Equipment,Accessories,Hats,Mid-Range,33515,7038150,79,210,21
December,Japan,Footwear,Cricket,Vapor Cricket,Premium,6901,1311190,85,190,15
June,Greater China,Equipment,Socks,Performance Socks,Premium,14683,1321470,77,90,23
June,Japan,Apparel,Performance,Dri-FIT,Mid-Range,46881,9376200,61,200,39
October,Greater China,Equipment,Socks,Crew Socks,Budget,10283,1748110,90,170,10
May,Europe,Apparel,Outerwear,Rain Jacket,Premium,42546,12338340,82,290,18
April,Southeast Asia,Equipment,Accessories,Bags,Premium,34149,9220230,66,270,34
January,India,Footwear,Cricket,Vapor Cricket,Premium,9058,1992760,67,220,33
August,Europe,Apparel,Performance,Compression Wear,Premium,21220,2970800,66,140,34
May,Europe,Footwear,Lifestyle,Air Force 1,Premium,18939,4355970,78,230,22
February,America,Apparel,Outerwear,Rain Jacket,Mid-Range,49117,12279250,77,250,23
September,Greater China,Footwear,Running,Air Zoom,Mid-Range,22363,2236300,56,100,44
October,Greater China,Apparel,Tops,Therma-FIT,Premium,36093,3248370,80,90,20
December,Europe,Apparel,Tops,Therma-FIT,Mid-Range,29938,4191320,82,140,18
December,India,Footwear,Football,Phantom Vision,Budget,29603,3552360,86,120,14
January,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,5028,1458120,61,290,39
July,South Korea,Equipment,Socks,Crew Socks,Premium,27507,5226330,81,190,19
February,Europe,Footwear,Lifestyle,Air Max,Budget,46945,2347250,53,50,47
December,Europe,Equipment,Accessories,Hats,Mid-Range,32757,3603270,73,110,27
May,Greater China,Equipment,Bags,Gym Sack,Budget,38906,7392140,68,190,32
February,America,Equipment,Accessories,Bags,Mid-Range,30682,4909120,61,160,39
May,Japan,Apparel,Outerwear,Windrunner,Budget,15518,4500220,90,290,10
October,Europe,Apparel,Tops,Tech Fleece,Budget,32693,9480970,80,290,20
November,India,Apparel,Outerwear,Windrunner,Premium,28203,2538270,72,90,28
June,India,Footwear,Cricket,Vapor Cricket,Premium,22074,1986660,87,90,13
December,Southeast Asia,Footwear,Lifestyle,Air Force 1,Budget,25467,7640100,50,300,50
November,America,Equipment,Accessories,Bags,Premium,38234,9176160,89,240,11
December,Greater China,Apparel,Performance,Dri-FIT,Premium,32321,1616050,60,50,40
October,Japan,Footwear,Basketball,LeBron Series,Premium,33902,4746280,85,140,15
December,Japan,Apparel,Performance,Dri-FIT,Budget,32475,1948500,65,60,35
June,Europe,Apparel,Outerwear,Windrunner,Premium,8847,707760,89,80,11
September,Europe,Apparel,Performance,Dri-FIT,Premium,19422,1747980,67,90,33
February,Greater China,Equipment,Bags,Gym Sack,Mid-Range,40582,2434920,71,60,29
January,South Korea,Equipment,Socks,Performance Socks,Premium,26112,2350080,74,90,26
February,Greater China,Equipment,Socks,Crew Socks,Premium,19653,5109780,62,260,38
October,Greater China,Footwear,Football,Phantom Vision,Premium,6574,1314800,68,200,32
December,South Korea,Apparel,Tops,Therma-FIT,Budget,49440,7910400,51,160,49
August,South Korea,Apparel,Performance,Dri-FIT,Budget,27540,4681800,57,170,43
August,Europe,Apparel,Tops,Tech Fleece,Mid-Range,13998,3219540,54,230,46
August,India,Equipment,Accessories,Hats,Budget,14433,3896910,76,270,24
October,America,Footwear,Lifestyle,Air Force 1,Budget,14744,4275760,54,290,46
December,India,Footwear,Cricket,Vapor Cricket,Budget,14969,1945970,69,130,31
July,India,Footwear,Cricket,Vapor Cricket,Premium,46453,12542310,88,270,12
November,Europe,Footwear,Lifestyle,Blazer,Premium,11602,3016520,72,260,28
March,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,42594,5537220,62,130,38
August,Southeast Asia,Apparel,Tops,Therma-FIT,Premium,33352,7003920,86,210,14
November,America,Apparel,Performance,Compression Wear,Mid-Range,41786,9192920,55,220,45
December,India,Footwear,Cricket,Vapor Cricket,Budget,44252,6195280,62,140,38
January,Greater China,Apparel,Outerwear,Rain Jacket,Mid-Range,20117,4828080,75,240,25
December,India,Apparel,Performance,Dri-FIT,Mid-Range,40025,4402750,85,110,15
September,South Korea,Footwear,Football,Mercurial,Mid-Range,43362,12574980,73,290,27
July,Greater China,Equipment,Bags,Gym Sack,Mid-Range,33968,10190400,83,300,17
March,America,Apparel,Outerwear,Windrunner,Budget,45678,9135600,56,200,44
April,Europe,Apparel,Tops,Tech Fleece,Premium,23175,5793750,53,250,47
October,America,Apparel,Outerwear,Rain Jacket,Mid-Range,9049,814410,76,90,24
September,Greater China,Footwear,Lifestyle,Air Max,Budget,25365,2790150,79,110,21
January,Southeast Asia,Equipment,Bags,Gym Sack,Budget,13843,1938020,61,140,39
February,Southeast Asia,Footwear,Lifestyle,Air Force 1,Budget,35728,7145600,60,200,40
August,India,Equipment,Socks,Crew Socks,Mid-Range,33377,9679330,76,290,24
April,Japan,Apparel,Outerwear,Windrunner,Budget,28314,5945940,62,210,38
June,South Korea,Apparel,Performance,Dri-FIT,Premium,37643,10916470,75,290,25
December,India,Footwear,Football,Mercurial,Mid-Range,27618,4971240,86,180,14
June,Japan,Footwear,Cricket,Vapor Cricket,Budget,37621,1881050,72,50,28
September,Greater China,Apparel,Performance,Compression Wear,Premium,25267,2526700,79,100,21
July,Japan,Apparel,Performance,Compression Wear,Mid-Range,16592,4148000,75,250,25
November,America,Apparel,Outerwear,Rain Jacket,Mid-Range,49607,7937120,66,160,34
February,Europe,Apparel,Performance,Dri-FIT,Budget,43928,5710640,77,130,23
August,Europe,Footwear,Lifestyle,Air Force 1,Budget,33205,8301250,62,250,38
September,Europe,Footwear,Basketball,LeBron Series,Budget,37183,8923920,62,240,38
July,Southeast Asia,Footwear,Football,Mercurial,Premium,8844,1503480,54,170,46
March,Europe,Footwear,Cricket,Vapor Cricket,Premium,39686,7937200,74,200,26
November,India,Equipment,Bags,Gym Sack,Budget,40146,7627740,58,190,42
November,Greater China,Apparel,Outerwear,Rain Jacket,Budget,47036,7525760,90,160,10
November,Japan,Footwear,Football,Phantom Vision,Mid-Range,37697,10932130,56,290,44
July,India,Apparel,Tops,Therma-FIT,Mid-Range,12534,1253400,71,100,29
August,America,Equipment,Accessories,Hats,Premium,16469,1646900,54,100,46
March,Southeast Asia,Equipment,Bags,Backpack,Premium,17306,5018740,84,290,16
September,Southeast Asia,Footwear,Football,Phantom Vision,Mid-Range,15743,2833740,73,180,27
June,Japan,Equipment,Accessories,Bags,Premium,47008,8931520,82,190,18
October,Southeast Asia,Footwear,Cricket,Vapor Cricket,Budget,26778,4552260,60,170,40
July,America,Apparel,Outerwear,Windrunner,Mid-Range,45702,10054440,85,220,15
November,India,Apparel,Performance,Dri-FIT,Budget,35001,9450270,89,270,11
February,India,Apparel,Performance,Compression Wear,Premium,20724,5802720,86,280,14
August,Japan,Equipment,Socks,Performance Socks,Mid-Range,20899,3970810,88,190,12
December,Southeast Asia,Equipment,Accessories,Hats,Premium,6354,1461420,88,230,12
September,Greater China,Equipment,Accessories,Hats,Mid-Range,47675,9058250,66,190,34
July,Europe,Equipment,Accessories,Hats,Mid-Range,31264,2188480,70,70,30
September,Japan,Equipment,Socks,Crew Socks,Premium,25606,5889380,72,230,28
August,Europe,Apparel,Performance,Dri-FIT,Budget,23432,7029600,80,300,20
October,Greater China,Footwear,Football,Mercurial,Premium,46670,10734100,62,230,38
July,America,Apparel,Outerwear,Windrunner,Mid-Range,8524,1363840,59,160,41
March,Southeast Asia,Apparel,Performance,Dri-FIT,Premium,16444,2795480,67,170,33
January,America,Apparel,Tops,Therma-FIT,Budget,40979,6966430,59,170,41
July,Europe,Equipment,Accessories,Bags,Budget,7218,938340,90,130,10
December,India,Equipment,Bags,Gym Sack,Premium,20868,1878120,87,90,13
January,India,Apparel,Outerwear,Windrunner,Budget,25837,2583700,76,100,24
May,India,Equipment,Socks,Performance Socks,Premium,6420,642000,56,100,44
March,Southeast Asia,Equipment,Socks,Crew Socks,Premium,35346,8836500,56,250,44
October,Greater China,Footwear,Cricket,Vapor Cricket,Premium,37169,1858450,74,50,26
April,Greater China,Apparel,Outerwear,Rain Jacket,Budget,45530,12748400,58,280,42
November,South Korea,Equipment,Socks,Performance Socks,Mid-Range,24849,2484900,58,100,42
June,Greater China,Footwear,Basketball,Air Jordan,Premium,24607,4429260,72,180,28
October,Europe,Equipment,Socks,Crew Socks,Mid-Range,22460,1347600,67,60,33
February,Southeast Asia,Apparel,Tops,Tech Fleece,Mid-Range,17571,1932810,52,110,48
May,India,Footwear,Football,Mercurial,Premium,20632,5776960,90,280,10
August,South Korea,Equipment,Bags,Gym Sack,Budget,7095,1206150,83,170,17
July,Southeast Asia,Apparel,Performance,Compression Wear,Budget,9612,1441800,79,150,21
February,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,23362,4205160,88,180,12
February,India,Apparel,Tops,Tech Fleece,Premium,28434,7392840,55,260,45
March,America,Apparel,Outerwear,Windrunner,Mid-Range,30604,7038920,72,230,28
May,Southeast Asia,Apparel,Performance,Compression Wear,Budget,12383,1362130,90,110,10
August,Japan,Apparel,Outerwear,Windrunner,Mid-Range,46249,9249800,53,200,47
October,Japan,Apparel,Performance,Compression Wear,Budget,43439,3475120,59,80,41
April,South Korea,Apparel,Tops,Therma-FIT,Premium,49510,3465700,54,70,46
February,South Korea,Footwear,Running,Air Zoom,Mid-Range,13052,3654560,58,280,42
August,America,Equipment,Socks,Crew Socks,Premium,28395,6530850,57,230,43
January,Europe,Apparel,Tops,Therma-FIT,Mid-Range,38487,7697400,81,200,19
January,South Korea,Footwear,Lifestyle,Blazer,Budget,11484,2871000,51,250,49
October,Southeast Asia,Footwear,Running,Pegasus,Mid-Range,21146,5709420,70,270,30
July,Europe,Equipment,Accessories,Hats,Premium,19271,1348970,78,70,22
June,Greater China,Footwear,Lifestyle,Blazer,Budget,42446,3395680,81,80,19
March,South Korea,Apparel,Tops,Tech Fleece,Budget,45929,7348640,66,160,34
January,Southeast Asia,Equipment,Socks,Crew Socks,Premium,17022,1021320,52,60,48
July,Japan,Apparel,Tops,Tech Fleece,Mid-Range,30406,6081200,87,200,13
April,Southeast Asia,Apparel,Performance,Compression Wear,Premium,31840,3502400,65,110,35
December,Japan,Apparel,Performance,Compression Wear,Budget,37396,5609400,59,150,41
September,Europe,Apparel,Tops,Tech Fleece,Budget,34475,5171250,71,150,29
June,India,Apparel,Outerwear,Rain Jacket,Budget,19448,2528240,54,130,46
December,Europe,Equipment,Socks,Performance Socks,Mid-Range,20448,5725440,60,280,40
February,Greater China,Footwear,Running,Pegasus,Premium,21015,4833450,62,230,38
May,Europe,Footwear,Basketball,KD Series,Mid-Range,40905,8181000,57,200,43
July,Greater China,Footwear,Football,Phantom Vision,Budget,14436,1443600,54,100,46
January,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,25907,7253960,66,280,34
May,Southeast Asia,Equipment,Accessories,Hats,Premium,19861,1588880,84,80,16
December,India,Equipment,Accessories,Hats,Premium,11839,828730,64,70,36
November,Greater China,Equipment,Accessories,Bags,Budget,32418,4214340,71,130,29
April,America,Equipment,Bags,Backpack,Budget,45099,9019800,50,200,50
March,America,Footwear,Football,Mercurial,Mid-Range,14208,3978240,68,280,32
November,India,Equipment,Socks,Crew Socks,Premium,39891,11568390,64,290,36
September,South Korea,Equipment,Bags,Backpack,Mid-Range,11286,1467180,88,130,12
August,Japan,Apparel,Performance,Dri-FIT,Mid-Range,31674,9502200,86,300,14
February,South Korea,Apparel,Outerwear,Windrunner,Budget,48413,8230210,86,170,14
June,Japan,Footwear,Running,React Infinity,Premium,13360,3740800,66,280,34
July,India,Apparel,Tops,Tech Fleece,Mid-Range,18488,2218560,59,120,41
November,Southeast Asia,Footwear,Football,Mercurial,Mid-Range,10346,1862280,79,180,21
November,India,Apparel,Performance,Dri-FIT,Mid-Range,49315,9369850,70,190,30
February,Greater China,Apparel,Tops,Tech Fleece,Mid-Range,31688,7605120,58,240,42
December,India,Equipment,Accessories,Bags,Budget,35804,5370600,71,150,29
April,Europe,Apparel,Outerwear,Windrunner,Mid-Range,9045,2442150,86,270,14
March,Japan,Equipment,Socks,Performance Socks,Premium,11050,1768000,90,160,10
July,South Korea,Equipment,Bags,Backpack,Mid-Range,39059,5858850,61,150,39
February,America,Equipment,Socks,Crew Socks,Budget,21955,3512800,87,160,13
February,South Korea,Footwear,Lifestyle,Air Max,Budget,36286,1814300,64,50,36
February,India,Footwear,Running,Air Zoom,Budget,29636,7409000,73,250,27
August,Japan,Equipment,Socks,Performance Socks,Premium,49808,6973120,53,140,47
June,Southeast Asia,Footwear,Running,React Infinity,Premium,20135,1208100,85,60,15
November,America,Equipment,Accessories,Hats,Premium,5398,1403480,89,260,11
September,India,Apparel,Tops,Therma-FIT,Mid-Range,49772,6968080,83,140,17
September,Greater China,Equipment,Socks,Crew Socks,Premium,20657,1239420,72,60,28
September,Southeast Asia,Equipment,Bags,Backpack,Budget,9556,2006760,81,210,19
August,Southeast Asia,Apparel,Outerwear,Rain Jacket,Premium,24716,3707400,56,150,44
July,Japan,Apparel,Performance,Dri-FIT,Premium,36813,9571380,90,260,10
February,India,Apparel,Tops,Tech Fleece,Budget,38922,9341280,78,240,22
June,India,Equipment,Bags,Backpack,Budget,21700,5642000,76,260,24
November,India,Equipment,Socks,Crew Socks,Premium,30607,1530350,67,50,33
December,Southeast Asia,Footwear,Basketball,LeBron Series,Premium,41927,8804670,69,210,31
February,Europe,Footwear,Basketball,Air Jordan,Premium,14104,1410400,85,100,15
March,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,48694,14608200,53,300,47
December,India,Apparel,Performance,Dri-FIT,Mid-Range,41095,3698550,81,90,19
June,India,Apparel,Performance,Compression Wear,Mid-Range,14939,2987800,58,200,42
April,Japan,Footwear,Running,Pegasus,Budget,10699,1925820,75,180,25
April,America,Footwear,Cricket,Vapor Cricket,Budget,13044,2347920,56,180,44
June,America,Apparel,Tops,Therma-FIT,Mid-Range,10066,1912540,72,190,28
December,India,Footwear,Football,Mercurial,Mid-Range,43215,10371600,72,240,28
April,India,Equipment,Socks,Performance Socks,Premium,31752,5080320,89,160,11
January,America,Footwear,Cricket,Vapor Cricket,Budget,28077,3930780,66,140,34
October,South Korea,Equipment,Bags,Backpack,Budget,38088,11045520,70,290,30
January,South Korea,Apparel,Outerwear,Windrunner,Budget,15527,1086890,81,70,19
September,India,Apparel,Outerwear,Rain Jacket,Mid-Range,25307,4555260,63,180,37
December,India,Footwear,Cricket,Vapor Cricket,Premium,27087,7584360,75,280,25
June,India,Apparel,Tops,Tech Fleece,Budget,30241,7257840,74,240,26
January,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,36693,2201580,55,60,45
July,India,Apparel,Outerwear,Rain Jacket,Budget,22371,4921620,50,220,50
March,South Korea,Apparel,Tops,Therma-FIT,Budget,29212,5550280,54,190,46
May,Greater China,Equipment,Bags,Gym Sack,Budget,41079,6161850,84,150,16
May,South Korea,Footwear,Lifestyle,Air Force 1,Premium,24535,4170950,71,170,29
October,Greater China,Footwear,Cricket,Vapor Cricket,Premium,18106,4164380,68,230,32
March,India,Apparel,Tops,Therma-FIT,Budget,20599,4737770,57,230,43
February,America,Equipment,Socks,Performance Socks,Budget,19586,3721340,51,190,49
January,Greater China,Equipment,Accessories,Bags,Mid-Range,45518,10924320,87,240,13
October,Greater China,Equipment,Bags,Backpack,Mid-Range,9831,2949300,68,300,32
September,India,Equipment,Accessories,Hats,Budget,42842,9425240,62,220,38
June,America,Equipment,Socks,Crew Socks,Budget,31869,7648560,74,240,26
September,Greater China,Apparel,Tops,Tech Fleece,Budget,26433,4493610,77,170,23
April,Greater China,Apparel,Outerwear,Windrunner,Premium,44154,13246200,50,300,50
November,Japan,Footwear,Running,Pegasus,Mid-Range,11072,775040,54,70,46
December,Europe,Apparel,Tops,Therma-FIT,Budget,32012,9603600,68,300,32
March,America,Footwear,Football,Mercurial,Mid-Range,45408,4086720,90,90,10
May,South Korea,Equipment,Socks,Performance Socks,Premium,49226,6891640,85,140,15
August,America,Equipment,Bags,Backpack,Mid-Range,26258,4726440,55,180,45
July,Europe,Apparel,Tops,Therma-FIT,Budget,29472,7662720,58,260,42
February,South Korea,Apparel,Tops,Therma-FIT,Budget,45392,12255840,72,270,28
April,Southeast Asia,Equipment,Accessories,Bags,Premium,40254,10466040,58,260,42
February,Greater China,Equipment,Bags,Gym Sack,Mid-Range,40110,2807700,71,70,29
August,Greater China,Equipment,Bags,Gym Sack,Budget,14684,2055760,81,140,19
September,Europe,Equipment,Accessories,Hats,Mid-Range,29332,8506280,63,290,37
December,Europe,Equipment,Bags,Backpack,Mid-Range,32488,9421520,77,290,23
March,Southeast Asia,Equipment,Accessories,Bags,Budget,34976,10143040,81,290,19
December,South Korea,Apparel,Performance,Compression Wear,Budget,5301,1484280,89,280,11
October,Greater China,Apparel,Outerwear,Windrunner,Premium,36648,6230160,68,170,32
December,Greater China,Equipment,Accessories,Hats,Premium,25857,4654260,79,180,21
April,India,Apparel,Performance,Dri-FIT,Mid-Range,37722,3017760,64,80,36
January,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,33638,3027420,68,90,32
March,America,Footwear,Basketball,LeBron Series,Premium,41534,5814760,56,140,44
January,Japan,Equipment,Bags,Backpack,Budget,38021,4182310,61,110,39
September,Europe,Apparel,Tops,Therma-FIT,Mid-Range,37325,2612750,59,70,41
June,Southeast Asia,Equipment,Accessories,Bags,Budget,20952,3561840,79,170,21
September,India,Equipment,Accessories,Hats,Premium,45895,12850600,56,280,44
October,India,Apparel,Performance,Compression Wear,Mid-Range,32295,6459000,82,200,18
October,South Korea,Apparel,Tops,Therma-FIT,Budget,9299,464950,59,50,41
August,Japan,Equipment,Accessories,Hats,Budget,46727,3738160,76,80,24
September,India,Equipment,Socks,Performance Socks,Budget,6482,972300,65,150,35
May,South Korea,Footwear,Football,Mercurial,Mid-Range,41555,2908850,83,70,17
September,Europe,Footwear,Basketball,KD Series,Premium,18476,3879960,70,210,30
August,India,Equipment,Socks,Performance Socks,Premium,29723,8025210,71,270,29
July,India,Footwear,Running,React Infinity,Budget,9468,1136160,51,120,49
June,Southeast Asia,Apparel,Outerwear,Windrunner,Budget,13888,1944320,69,140,31
April,Greater China,Footwear,Lifestyle,Air Max,Mid-Range,7166,358300,77,50,23
March,South Korea,Equipment,Accessories,Bags,Budget,19819,2180090,90,110,10
February,India,Apparel,Tops,Tech Fleece,Mid-Range,25048,3256240,81,130,19
March,Greater China,Apparel,Performance,Compression Wear,Premium,5985,1197000,64,200,36
March,Southeast Asia,Apparel,Outerwear,Rain Jacket,Mid-Range,17951,3590200,57,200,43
December,Greater China,Footwear,Football,Phantom Vision,Mid-Range,44234,9731480,56,220,44
May,America,Footwear,Lifestyle,Air Force 1,Mid-Range,7516,1202560,75,160,25
August,Greater China,Equipment,Socks,Crew Socks,Budget,13150,3024500,73,230,27
October,Europe,Footwear,Basketball,LeBron Series,Budget,14646,2489820,77,170,23
March,India,Equipment,Accessories,Bags,Budget,35223,4578990,80,130,20
November,America,Footwear,Running,Pegasus,Mid-Range,29941,2395280,60,80,40
August,America,Apparel,Outerwear,Rain Jacket,Mid-Range,41476,11198520,77,270,23
September,Southeast Asia,Equipment,Bags,Backpack,Budget,43727,6121780,72,140,28
September,Japan,Footwear,Lifestyle,Air Force 1,Mid-Range,17902,1611180,65,90,35
June,India,Equipment,Accessories,Hats,Mid-Range,7966,1672860,58,210,42
April,India,Equipment,Bags,Backpack,Mid-Range,7918,1029340,64,130,36
April,India,Apparel,Tops,Therma-FIT,Mid-Range,47144,3300080,79,70,21
December,America,Footwear,Lifestyle,Air Max,Budget,24291,6558570,76,270,24
March,Japan,Footwear,Running,Air Zoom,Premium,32367,9386430,71,290,29
December,Greater China,Apparel,Outerwear,Windrunner,Mid-Range,18093,4342320,60,240,40
October,America,Apparel,Performance,Compression Wear,Budget,12917,1937550,75,150,25
November,Southeast Asia,Equipment,Socks,Crew Socks,Premium,36635,3663500,71,100,29
October,Greater China,Apparel,Tops,Tech Fleece,Budget,49105,7365750,84,150,16
January,India,Equipment,Bags,Gym Sack,Mid-Range,36483,8391090,70,230,30
May,America,Equipment,Socks,Performance Socks,Budget,39080,2344800,66,60,34
May,Europe,Apparel,Performance,Compression Wear,Mid-Range,17357,1041420,76,60,24
September,India,Footwear,Football,Mercurial,Budget,9310,2234400,77,240,23
February,Europe,Footwear,Running,React Infinity,Budget,26264,6566000,82,250,18
September,America,Footwear,Cricket,Vapor Cricket,Budget,16306,4239560,65,260,35
February,Japan,Equipment,Bags,Backpack,Budget,34648,8662000,86,250,14
July,Greater China,Apparel,Outerwear,Rain Jacket,Budget,22720,6134400,62,270,38
May,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,22115,5749900,81,260,19
September,Japan,Footwear,Running,Air Zoom,Budget,17475,5242500,66,300,34
November,India,Equipment,Accessories,Hats,Budget,19905,1592400,72,80,28
April,South Korea,Equipment,Bags,Backpack,Premium,25935,3112200,62,120,38
July,India,Apparel,Outerwear,Rain Jacket,Premium,24791,6693570,64,270,36
April,Japan,Equipment,Accessories,Bags,Premium,42503,8075570,55,190,45
May,America,Apparel,Performance,Compression Wear,Mid-Range,22852,6627080,58,290,42
March,Europe,Footwear,Cricket,Vapor Cricket,Premium,46131,5074410,84,110,16
February,Greater China,Apparel,Performance,Compression Wear,Mid-Range,8085,404250,85,50,15
September,Japan,Footwear,Football,Mercurial,Budget,31557,3786840,82,120,18
March,Japan,Footwear,Football,Phantom Vision,Mid-Range,39353,9051190,51,230,49
October,South Korea,Apparel,Tops,Tech Fleece,Mid-Range,22174,3104360,60,140,40
September,Southeast Asia,Equipment,Socks,Performance Socks,Budget,31434,5029440,81,160,19
October,America,Equipment,Bags,Backpack,Premium,15693,4237110,61,270,39
August,America,Footwear,Running,React Infinity,Budget,13144,920080,73,70,27
December,America,Apparel,Performance,Dri-FIT,Premium,21823,6546900,55,300,45
February,Southeast Asia,Apparel,Tops,Tech Fleece,Premium,42443,2546580,54,60,46
November,India,Equipment,Accessories,Bags,Mid-Range,41655,7914450,89,190,11
September,South Korea,Equipment,Bags,Gym Sack,Budget,7510,826100,52,110,48
December,Greater China,Apparel,Performance,Dri-FIT,Budget,17534,2630100,68,150,32
April,Europe,Footwear,Football,Mercurial,Premium,21644,5627440,64,260,36
November,Europe,Equipment,Accessories,Hats,Premium,42755,8123450,56,190,44
July,America,Footwear,Football,Mercurial,Budget,7886,1656060,84,210,16
June,India,Footwear,Cricket,Vapor Cricket,Premium,45908,12854240,83,280,17
April,Japan,Footwear,Basketball,Air Jordan,Mid-Range,11441,2059380,50,180,50
July,South Korea,Equipment,Socks,Performance Socks,Premium,8582,1630580,88,190,12
July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Premium,24571,4668490,76,190,24
October,Japan,Apparel,Performance,Compression Wear,Mid-Range,23265,2791800,68,120,32
September,Greater China,Apparel,Performance,Compression Wear,Budget,16048,2567680,55,160,45
April,Japan,Apparel,Outerwear,Rain Jacket,Budget,11929,2027930,55,170,45
September,Japan,Equipment,Accessories,Bags,Premium,18012,2161440,89,120,11
June,Southeast Asia,Footwear,Cricket,Vapor Cricket,Budget,17105,3763100,52,220,48
December,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,48239,13989310,55,290,45
June,Southeast Asia,Equipment,Bags,Gym Sack,Mid-Range,35378,3184020,55,90,45
June,India,Equipment,Bags,Backpack,Budget,18421,4421040,63,240,37
December,South Korea,Equipment,Accessories,Bags,Premium,38527,2311620,73,60,27
September,America,Equipment,Bags,Gym Sack,Mid-Range,33938,3054420,72,90,28
September,America,Equipment,Socks,Crew Socks,Mid-Range,36001,4320120,77,120,23
September,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,45981,7816770,69,170,31
February,Southeast Asia,Equipment,Socks,Performance Socks,Mid-Range,37934,9483500,87,250,13
November,Greater China,Equipment,Socks,Performance Socks,Budget,28857,6925680,54,240,46
August,South Korea,Equipment,Bags,Backpack,Premium,39481,4342910,55,110,45
September,Europe,Footwear,Basketball,Air Jordan,Premium,47844,5262840,89,110,11
January,South Korea,Footwear,Cricket,Vapor Cricket,Budget,47739,14321700,83,300,17
December,Southeast Asia,Equipment,Socks,Crew Socks,Premium,35535,7107000,84,200,16
December,India,Footwear,Lifestyle,Air Max,Budget,28409,4545440,60,160,40
March,America,Equipment,Socks,Performance Socks,Premium,28418,1989260,90,70,10
May,Japan,Apparel,Outerwear,Windrunner,Mid-Range,10974,2743500,77,250,23
December,South Korea,Equipment,Bags,Backpack,Mid-Range,49542,13871760,61,280,39
December,Europe,Equipment,Bags,Gym Sack,Premium,13770,1101600,75,80,25
June,America,Footwear,Running,Pegasus,Mid-Range,28729,3447480,89,120,11
May,Greater China,Equipment,Accessories,Bags,Budget,22736,6138720,64,270,36
September,Greater China,Apparel,Tops,Therma-FIT,Premium,13352,667600,57,50,43
May,Japan,Equipment,Socks,Crew Socks,Mid-Range,12389,3468920,61,280,39
September,Greater China,Footwear,Lifestyle,Air Max,Budget,33989,4418570,51,130,49
August,Japan,Footwear,Lifestyle,Blazer,Premium,39447,8678340,59,220,41
September,Greater China,Apparel,Outerwear,Windrunner,Premium,41665,10832900,60,260,40
July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Mid-Range,48935,11255050,75,230,25
April,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,31306,8452620,79,270,21
July,South Korea,Apparel,Outerwear,Rain Jacket,Mid-Range,9218,1659240,88,180,12
March,Southeast Asia,Footwear,Running,Pegasus,Budget,17097,2906490,90,170,10
May,Greater China,Footwear,Lifestyle,Blazer,Premium,20719,1864710,65,90,35
September,Greater China,Footwear,Basketball,LeBron Series,Budget,12456,996480,80,80,20
May,Greater China,Equipment,Bags,Gym Sack,Budget,36767,9559420,52,260,48
October,South Korea,Equipment,Bags,Backpack,Premium,35801,3938110,63,110,37
November,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,42813,10703250,78,250,22
October,Europe,Apparel,Outerwear,Windrunner,Mid-Range,40882,6132300,62,150,38
January,America,Footwear,Football,Mercurial,Mid-Range,11227,2582210,50,230,50
July,India,Footwear,Lifestyle,Blazer,Budget,31163,6544230,76,210,24
June,Europe,Footwear,Cricket,Vapor Cricket,Budget,46617,5594040,57,120,43
February,Japan,Equipment,Bags,Backpack,Budget,43543,10014890,58,230,42
June,Southeast Asia,Equipment,Bags,Gym Sack,Budget,14871,3717750,76,250,24
December,Europe,Equipment,Socks,Crew Socks,Mid-Range,49189,14264810,61,290,39
April,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,37179,5948640,63,160,37
August,Japan,Footwear,Basketball,Air Jordan,Premium,21319,5116560,77,240,23
August,India,Equipment,Accessories,Bags,Mid-Range,18855,3205350,59,170,41
